code,item_code,quantity,product_name,variant_name,color,size
87798105547,silver/20*80-87798105547,100,"ماشاء الله لاقوه إلا بالله",silver/20*80,silver,20*80
89548957355,silver/20*80-89548957355,100,"يارب بارك هذا البيت",silver/20*80,silver,20*80
002487832,silver/30*120-002487832,100,"فبأي الاء ربكما تكذبان",silver/30*120,silver,30*120
5577889624,silver/30*120-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",silver/30*120,silver,30*120
774411889322,silver/30*120-774411889322,100,"بسم الله الرحمن الرحيم",silver/30*120,silver,30*120
87798105547,silver/30*120-87798105547,100,"ماشاء الله لاقوه إلا بالله",silver/30*120,silver,30*120
89548957355,silver/30*120-89548957355,100,"يارب بارك هذا البيت",silver/30*120,silver,30*120
3772022800,silver/40*40-3772022800,100,"بسم الله الرحمن الرحيم 2",بيج/A,بيج,A
3772022800,silver/50*50-3772022800,100,"بسم الله الرحمن الرحيم 2",بيج/B,بيج,B
3772022800,silver/60*60-3772022800,100,"بسم الله الرحمن الرحيم 2",بيج/C,بيج,C
77822842,silver/70*60-77822842,100,"سوره الفاتحه",نبيتي/1XL,نبيتي,1XL
3772022800,silver/70*70-3772022800,100,"بسم الله الرحمن الرحيم 2",تفاحي/A,تفاحي,A
77822842,silver/90*80-77822842,100,"سوره الفاتحه",زيتي/1XL,زيتي,1XL
347488786895,snowy/xl-347488786895,100,"سوت نولا",snowy/xl,snowy,xl
235345656,XL-235345656,102,"ترنج ارمي",XL,XL,None
345657634,XL-345657634,100,"عبايه الندى نبيتي",XL,XL,None
35576863223,XL-35576863223,100,"عبايه الندى ازرق مخطط",XL,XL,None
454574720,XL-454574720,92,"ترنج broklyn",XL,XL,None
501124848,XL-501124848,124,"ترنج بلاكي",XL,XL,None
576547454554,XL-576547454554,100,"عبايه الندى لموني",XL,XL,None
675674543,XL-675674543,100,"عبايه الندى ازرق منقرش",XL,XL,None
8322404,XL-8322404,99,"ترنج black",XL,XL,None
887721056,XL-887721056,143,"ترنج yourself",XL,XL,None
874234782,xl/ابيض/female-874234782,100,"هودي استيتش وانجل",xl/ابيض/female,xl,ابيض
874234782,xl/ابيض/male-874234782,100,"هودي استيتش وانجل",xl/ابيض/male,xl,ابيض
3945823,XL/اخضر-3945823,33,"طقم jumpsuit",XL/اخضر,XL,اخضر
5445454,xl/اسود,0,"بنطلون كيكي",xl/اسود,xl,اسود
